Harmonized Name,Harmonized ID (Pubchem ID),Database,Name in Database,Source for Clinical Information,Clinical Phase,MOA,Targets
gw282974x,6603857,NCI60,gw282974x,#N/A,,#N/A,#N/A
unnamed_33711,6711173,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33712,6711185,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33713,6711218,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33714,6711223,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33715,6711234,NCI60,-,#N/A,,#N/A,#N/A
active compound from cephalodiscus gilchristi,6711239,NCI60,active compound from cephalodiscus gilchristi,#N/A,,#N/A,#N/A
from cephalodiscus gilchristi,6711241,NCI60,from cephalodiscus gilchristi,#N/A,,#N/A,#N/A
dihydroindicine n-oxide,6711253,NCI60,dihydroindicine n-oxide,#N/A,,#N/A,#N/A
unnamed_33716,6711254,NCI60,-,#N/A,,#N/A,#N/A
baccharinoid b4,6711263,NCI60,baccharinoid b4,#N/A,,#N/A,#N/A
unnamed_33717,6711276,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33718,6711278,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33719,6711279,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33720,6711280,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33721,6711281,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33722,6711286,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33723,6711287,NCI60,-,#N/A,,#N/A,#N/A
h-asn-met-trp-gln-glu-val-gly-lys-ala-oh,6711288,NCI60,h-asn-met-trp-gln-glu-val-gly-lys-ala-oh,#N/A,,#N/A,#N/A
unnamed_33724,6711291,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33725,6711293,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33726,6711298,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33727,6711303,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33728,6711304,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33729,6711305,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33730,6711307,NCI60,-,#N/A,,#N/A,#N/A
asn-gln-trp-ala-val-gly-(d)phe-leu-met-nh2,6711308,NCI60,asn-gln-trp-ala-val-gly-(d)phe-leu-met-nh2,#N/A,,#N/A,#N/A
unnamed_33731,6711309,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33732,6711310,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33733,6711311,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33734,6711317,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33735,6711318,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33736,6711319,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33737,6711324,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33738,6711325,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33739,6711328,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33740,6711329,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33741,6711330,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33742,6711333,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33743,6711336,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33744,6711337,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33745,6711339,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33746,6711340,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33747,6711344,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33748,6711345,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33749,6711346,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33750,6711347,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33751,6711356,NCI60,-,#N/A,,#N/A,#N/A
14-fluoro-4-demethoxydaunorubicin,6711360,NCI60,14-fluoro-4-demethoxydaunorubicin,#N/A,,#N/A,#N/A
unnamed_33752,6711361,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33753,6711362,NCI60,-,#N/A,,#N/A,#N/A
asn-gln-trp-ala-(sme)-pen-gly-his-leu-met-nh2,6711365,NCI60,asn-gln-trp-ala-(sme)-pen-gly-his-leu-met-nh2,#N/A,,#N/A,#N/A
unnamed_33754,6711369,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33755,6711370,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33756,6711371,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33757,6711372,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33758,6711375,NCI60,-,#N/A,,#N/A,#N/A
.alpha.-boswellic acid acetate,6711382,NCI60,.alpha.-boswellic acid acetate,#N/A,,#N/A,#N/A
.beta.-boswellic acid acetate,6711383,NCI60,.beta.-boswellic acid acetate,#N/A,,#N/A,#N/A
unnamed_33759,6711386,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33760,6711399,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33761,6711412,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33762,6711418,NCI60,-,#N/A,,#N/A,#N/A
18-methoxy mycalamide a,6711420,NCI60,18-methoxy mycalamide a,#N/A,,#N/A,#N/A
"17,18-dimethoxy mycalamide a",6711421,NCI60,"17,18-dimethoxy mycalamide a",#N/A,,#N/A,#N/A
"7,17,18-trimethoxy mycalamide a",6711422,NCI60,"7,17,18-trimethoxy mycalamide a",#N/A,,#N/A,#N/A
"7,17,18-trimethoxy, n-methyl mycalamide a",6711423,NCI60,"7,17,18-trimethoxy, n-methyl mycalamide a",#N/A,,#N/A,#N/A
unnamed_33763,6711426,NCI60,-,#N/A,,#N/A,#N/A
"17.alpha.-methyl-4-androsteno[3,2-c]isoxaole-4,17-diol",6711428,NCI60,"17.alpha.-methyl-4-androsteno[3,2-c]isoxaole-4,17-diol",#N/A,,#N/A,#N/A
unnamed_33764,6711432,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33765,6711437,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33766,6711439,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33767,6711443,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33768,6711448,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33769,6711450,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33770,6711453,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33771,6711454,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33772,6711455,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33773,6711456,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33774,6711457,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33775,6711461,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33776,6711462,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33777,6711463,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33778,6711464,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33779,6711465,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33780,6711466,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33781,6711467,NCI60,-,#N/A,,#N/A,#N/A
"3-hydroxy-7-nitro-1,2,4-benzotriazine 1-oxide",6711495,NCI60,"3-hydroxy-7-nitro-1,2,4-benzotriazine 1-oxide",#N/A,,#N/A,#N/A
"3-chloro-7-nitro-1,2,4-benzotriazine 1-oxide",6711496,NCI60,"3-chloro-7-nitro-1,2,4-benzotriazine 1-oxide",#N/A,,#N/A,#N/A
"7-nitro-3-trifluoroacetamido-1,2,4-benzotriazine 1-oxide",6711497,NCI60,"7-nitro-3-trifluoroacetamido-1,2,4-benzotriazine 1-oxide",#N/A,,#N/A,#N/A
unnamed_33782,6711499,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33783,6711500,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33784,6711504,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33785,6711505,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33786,6711506,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33787,6711507,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33788,6711509,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33789,6711515,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33790,6711517,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33791,6711518,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33792,6711523,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33793,6711549,NCI60,-,#N/A,,#N/A,#N/A
pseudolarolide b,6711550,NCI60,pseudolarolide b,#N/A,,#N/A,#N/A
pseudolarolide c,6711551,NCI60,pseudolarolide c,#N/A,,#N/A,#N/A
pseudolarolide d,6711552,NCI60,pseudolarolide d,#N/A,,#N/A,#N/A
pseudolarolide f,6711553,NCI60,pseudolarolide f,#N/A,,#N/A,#N/A
pseudolarolide g,6711554,NCI60,pseudolarolide g,#N/A,,#N/A,#N/A
pseudolarolide i,6711555,NCI60,pseudolarolide i,#N/A,,#N/A,#N/A
unnamed_33794,6711561,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33795,6711562,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33796,6711563,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33797,6711564,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33798,6711566,NCI60,-,#N/A,,#N/A,#N/A
psicoplanocin,6711586,NCI60,psicoplanocin,#N/A,,#N/A,#N/A
unnamed_33799,6711596,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33800,6711597,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33801,6711598,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33802,6711599,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33803,6711600,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33804,6711601,NCI60,-,#N/A,,#N/A,#N/A
"bis(2-benzoyl-1,3-indanedionato)nickel(ii)dihydrate",6711619,NCI60,"bis(2-benzoyl-1,3-indanedionato)nickel(ii)dihydrate",#N/A,,#N/A,#N/A
"bis(2-benzoyl-1,3-indanedionato)manganese(ii)dihydrate",6711620,NCI60,"bis(2-benzoyl-1,3-indanedionato)manganese(ii)dihydrate",#N/A,,#N/A,#N/A
"dicarbonyl(1-phenylbutane-1,3-dionato)iridium(i)",6711625,NCI60,"dicarbonyl(1-phenylbutane-1,3-dionato)iridium(i)",#N/A,,#N/A,#N/A
unnamed_33805,6711626,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33806,6711627,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33807,6711628,NCI60,-,#N/A,,#N/A,#N/A
(chinoline-8-olato)dicarbonyliridium(i),6711629,NCI60,(chinoline-8-olato)dicarbonyliridium(i),#N/A,,#N/A,#N/A
"dicarbonyl(1,3-diphenyl-1,3-propanedionato)iridium(i)",6711630,NCI60,"dicarbonyl(1,3-diphenyl-1,3-propanedionato)iridium(i)",#N/A,,#N/A,#N/A
unnamed_33808,6711631,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33809,6711643,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33810,6711649,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33811,6711652,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33812,6711653,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33813,6711672,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33814,6711673,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33815,6711689,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33816,6711691,NCI60,-,#N/A,,#N/A,#N/A
9-amino-20(r)-camptothecin,6711750,NCI60,9-amino-20(r)-camptothecin,#N/A,,#N/A,#N/A
unnamed_33817,6711752,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33818,6711753,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33819,6711759,NCI60,-,#N/A,,#N/A,#N/A
trunculin-b methyl ester,6711772,NCI60,trunculin-b methyl ester,#N/A,,#N/A,#N/A
unnamed_33820,6711793,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33821,6711794,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33822,6711795,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33823,6711796,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33824,6711801,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33825,6711813,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33826,6711815,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33827,6711816,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33828,6711817,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33829,6711818,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33830,6711822,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33831,6711823,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33832,6711826,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33833,6711827,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33834,6711828,NCI60,-,#N/A,,#N/A,#N/A
(4(s)-(+)-ipomeanol),6711829,NCI60,(4(s)-(+)-ipomeanol),#N/A,,#N/A,#N/A
unnamed_33835,6711832,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33836,6711833,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33837,6711834,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33838,6711862,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33839,6711863,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33840,6711864,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33841,6711871,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33842,6711872,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33843,6711873,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33844,6711874,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33845,6711875,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33846,6711876,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33847,6711877,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33848,6711883,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33849,6711884,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33850,6711885,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33851,6711886,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33852,6711888,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33853,6711890,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33854,6711891,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33855,6711892,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33856,6711893,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33857,6711894,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33858,6711895,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33859,6711896,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33860,6711897,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33861,6711898,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33862,6711900,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33863,6711911,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33864,6711912,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33865,6711913,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33866,6711922,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33867,6711923,NCI60,-,#N/A,,#N/A,#N/A
"acetatobis(1,3-diphenylpropane-1,3-dionato)yttrium(iii)",6711926,NCI60,"acetatobis(1,3-diphenylpropane-1,3-dionato)yttrium(iii)",#N/A,,#N/A,#N/A
unnamed_33868,6711930,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33869,6711935,NCI60,-,#N/A,,#N/A,#N/A
tehranolide,6711941,NCI60,tehranolide,#N/A,,#N/A,#N/A
kalihinol y,6711942,NCI60,kalihinol y,#N/A,,#N/A,#N/A
unnamed_33870,6711943,NCI60,-,#N/A,,#N/A,#N/A
antineoplastic-d647752,6711944,NCI60,antineoplastic-d647752,#N/A,,#N/A,#N/A
antineoplastic-d647753,6711945,NCI60,antineoplastic-d647753,#N/A,,#N/A,#N/A
unnamed_33871,6711950,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33872,6711951,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33873,6711953,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33874,6711954,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33875,6711955,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33876,6711972,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33877,6711973,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33878,6711977,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33879,6711981,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33880,6711983,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33881,6711989,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33882,6711991,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33883,6711992,NCI60,-,#N/A,,#N/A,#N/A
arthrobacilin a,6711993,NCI60,arthrobacilin a,#N/A,,#N/A,#N/A
polacandrin,6711995,NCI60,polacandrin,#N/A,,#N/A,#N/A
2'-bromo-4'-epi-daunorubicin,6711997,NCI60,2'-bromo-4'-epi-daunorubicin,#N/A,,#N/A,#N/A
isoteucrin h4,6711998,NCI60,isoteucrin h4,#N/A,,#N/A,#N/A
unnamed_33884,6711999,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33885,6712000,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33886,6712001,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33887,6712002,NCI60,-,#N/A,,#N/A,#N/A
antineoplastic-651195,6712004,NCI60,antineoplastic-651195,#N/A,,#N/A,#N/A
unnamed_33888,6712005,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33889,6712006,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33890,6712007,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33891,6712009,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33892,6712012,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33893,6712017,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33894,6712026,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33895,6712027,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33896,6712028,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33897,6712029,NCI60,-,#N/A,,#N/A,#N/A
ipa/no : methyl ether,6712035,NCI60,ipa/no : methyl ether,#N/A,,#N/A,#N/A
unnamed_33898,6712036,NCI60,-,#N/A,,#N/A,#N/A
petunianine b,6712038,NCI60,petunianine b,#N/A,,#N/A,#N/A
unnamed_33899,6712039,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33900,6712040,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33901,6712041,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33902,6712042,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33903,6712043,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33904,6712044,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33905,6712054,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33906,6712056,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33907,6712057,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33908,6712058,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33909,6712059,NCI60,-,#N/A,,#N/A,#N/A
8-o-ethyl-14-benzoylaconine,6712070,NCI60,8-o-ethyl-14-benzoylaconine,#N/A,,#N/A,#N/A
unnamed_33910,6712072,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33911,6712075,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33912,6712076,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33913,6712077,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33914,6712078,NCI60,-,#N/A,,#N/A,#N/A
(+)-jervinone,6712079,NCI60,(+)-jervinone,#N/A,,#N/A,#N/A
unnamed_33915,6712082,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33916,6712083,NCI60,-,#N/A,,#N/A,#N/A
epoxy-chiromodine,6712084,NCI60,epoxy-chiromodine,#N/A,,#N/A,#N/A
7-Epi-10-deacetylbaccatin III,6712096,NCI60,7-Epi-10-deacetylbaccatin III,#N/A,,#N/A,#N/A
discorhabdin b,6712097,NCI60,discorhabdin b,#N/A,,#N/A,#N/A
discorhabdin i,6712100,NCI60,discorhabdin i,#N/A,,#N/A,#N/A
unnamed_33917,6712102,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33918,6712107,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33919,6712108,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33920,6712109,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33921,6712120,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33922,6712121,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33923,6712122,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33924,6712123,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33925,6712147,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33926,6712148,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33927,6712172,NCI60,-,#N/A,,#N/A,#N/A
divarinone,6712174,NCI60,divarinone,#N/A,,#N/A,#N/A
caesaljapin,6712179,NCI60,caesaljapin,#N/A,,#N/A,#N/A
unnamed_33928,6712194,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33929,6712199,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33930,6712200,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33931,6712202,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33932,6712203,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33933,6712206,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33934,6712208,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33935,6712209,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33936,6712210,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33937,6712212,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33938,6712215,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33939,6712216,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33940,6712217,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33941,6712219,NCI60,-,#N/A,,#N/A,#N/A
butenolide peroxide,6712220,NCI60,butenolide peroxide,#N/A,,#N/A,#N/A
unnamed_33942,6712221,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33943,6712222,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33944,6712223,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33945,6712227,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33946,6712228,NCI60,-,#N/A,,#N/A,#N/A
"2-Debenzoyl-2-(3',5'-difluorobenzoyl)-15(16)-anhydro-11(15->1)-abeotaxol",6712230,NCI60,"2-Debenzoyl-2-(3',5'-difluorobenzoyl)-15(16)-anhydro-11(15->1)-abeotaxol",#N/A,,#N/A,#N/A
2-chloro-3-(n-l-serino)naphthazarin ethyl ester,6712232,NCI60,2-chloro-3-(n-l-serino)naphthazarin ethyl ester,#N/A,,#N/A,#N/A
unnamed_33947,6712233,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33948,6712236,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33949,6712240,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33950,6712241,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33951,6712242,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33952,6712243,NCI60,-,#N/A,,#N/A,#N/A
(-)-ent-bullatacin,6712244,NCI60,(-)-ent-bullatacin,#N/A,,#N/A,#N/A
2-chloro-3-(n-(l)-tyrosinamido)naphthazarin,6712245,NCI60,2-chloro-3-(n-(l)-tyrosinamido)naphthazarin,#N/A,,#N/A,#N/A
2-chloro-3-(n-l-phenylalanino)naphthazarin benzyl ester,6712246,NCI60,2-chloro-3-(n-l-phenylalanino)naphthazarin benzyl ester,#N/A,,#N/A,#N/A
2-chloro-3-(n-l-leucino)naphthazarin methyl ester,6712247,NCI60,2-chloro-3-(n-l-leucino)naphthazarin methyl ester,#N/A,,#N/A,#N/A
2-chloro-3-(n-l-alanino)naphthazarin p-nitrophenylamide,6712248,NCI60,2-chloro-3-(n-l-alanino)naphthazarin p-nitrophenylamide,#N/A,,#N/A,#N/A
unnamed_33953,6712249,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33954,6712252,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33955,6712253,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33956,6712254,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33957,6712256,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33958,6712257,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33959,6712258,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33960,6712261,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33961,6712269,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33962,6712270,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33963,6712271,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33964,6712272,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33965,6712273,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33966,6712279,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33967,6712282,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33968,6712284,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33969,6712285,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33970,6712288,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33971,6712290,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33972,6712291,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33973,6712292,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33974,6712293,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33975,6712294,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33976,6712298,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33977,6712300,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33978,6712301,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33979,6712302,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33980,6712303,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33981,6712305,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33982,6712306,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33983,6712307,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33984,6712308,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33985,6712312,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33986,6712314,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33987,6712315,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33988,6712326,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33989,6712327,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33990,6712330,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33991,6712331,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33992,6712333,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33993,6712340,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33994,6712342,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33995,6712343,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33996,6712344,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33997,6712349,NCI60,-,#N/A,,#N/A,#N/A
unnamed_33998,6712350,NCI60,-,#N/A,,#N/A,#N/A
